Nome o identificativo;Indirizzo;Mq;Attrezzato;Note
Via dell'Aviere;Via dell'Aviere - 37010 Pastrengo (VR);1600;Sì;
Via del Fante;Via del Fante - 37010 Pastrengo (VR);1150;Sì;
Via dei Capitelli;Via dei Capitelli - 37010 Pastrengo (VR);5000;Sì;
Via Papa Luciani;Via Papa Luciani - 37010 Pastrengo (VR);500;Sì;
Via Maggiore Alessandro Negri di Sanfront;Via Maggiore Alessandro Negri di Sanfront - 37010 Pastrengo (VR);500;Sì;
Via Primo Maggio;Via Primo Maggio - 37010 Pastrengo (VR);600;Sì;
Via del Bersagliere;Via del Bersagliere - 37010 Pastrengo (VR);550;Sì;
Piazza del Donatore;Piazza del Donatore - 37010 Pastrengo (VR);900;Sì;
Via Vittorio Veneto;Via Vittorio Veneto - 37010 Pastrengo (VR);550;Sì;
Via Merano;Via Merano - 37010 Pastrengo (VR);300;Sì;
Via Pontara;Via Pontara - 37010 Pastrengo (VR);2000;No;
Parco Montaer;Località Montaer;2500;No;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
