Nome o identificativo;Indirizzo;Mq;Attrezzato;Note
Giardino;via M. Pastello;1.300;Sì;Ospedaletto
parco giochi ed aiuola;via Busa;2.340;Sì;Ospedaletto
Parco via Don Morandin;via Don Morandin;627;Sì;LOCALITA’ SANTA LUCIA
Parco via Almirante;via Almirante;470;Sì;LOCALITA’ SANTA LUCIA
parco giochi via Don Calabria;via Don Calabria;645;Sì;LOCALITA’ BALCONI
Area via S. Francesco;via S. Francesco;2.115;Sì;LOCALITA’ BALCONI
Piazza Tanti Balconi;Piazza Tanti Balconi;1.290;Sì;LOCALITA’ BALCONI
Via Postale vecchia  Campetto;Via Postale vecchia;2.170;Sì;LOCALITA’ BALCONI
Via Siedlce -Via S. Francesco 3 aree;Via Siedlce -Via S. Francesco;1.520;No;LOCALITA’ BALCONI
Parco via dei Peschi;via dei Peschi;10.000;Sì;LOCALITA’ SETTIMO
area cinofila;Via dei Pini;2.797;Sì;LOCALITA’ SETTIMO
parco giochi via Bertoldi;via Bertoldi;4.460;Sì;LOCALITA’ SETTIMO
area via Verdi via Rossini;via Verdi via Rossini;1.050;Sì;LOCALITA’ SETTIMO
parco giochi via Vicentini;via Vicentini;880;Sì;LOCALITA’ SETTIMO
via Vivaldi;via Vivaldi;600;No;LOCALITA’ SETTIMO
parco giochi Corte regia;Corte regia;800;Sì;LOCALITA’ SETTIMO
parco Padre Zeno;via Belvedere;2.568;Sì;LOCALITA’ ARCE’
Parco giochi via M. Castagna;via M. Castagna;2.470;Sì;LOCALITA’ CAPOLUOGO OVEST
Parco via Zenati;via Zenati;417;Sì;LOCALITA’ CAPOLUOGO OVEST
Via Don Ottoboni;Via Don Ottoboni;1.000;No;LOCALITA’ CAPOLUOGO OVEST
Area Donatori Sangue;via Moletti;5.400;Sì;LOCALITA’ CAPOLUOGO NORD - OVEST
Area via dei sassi;via dei sassi;200;No;LOCALITA’ CAPOLUOGO NORD - OVEST
Area verde lottizzazione Sabionè;via Salvo D'Acquisto;400;;LOCALITA’ CAPOLUOGO NORD - OVEST
Area via Anita Garibaldi;via Anita Garibaldi;166;;LOCALITA’ CAPOLUOGO NORD - OVEST
Area via caduti del lavoro;via caduti del lavoro;252;;LOCALITA’ CAPOLUOGO NORD - OVEST
Giardino Via Vegra;Via Vegra;1.320;Sì;LOCALITA’ CAPOLUOGO NORD - EST
Parco giochi via Vezza;via Vezza;5.205;Sì;LOCALITA’ CAPOLUOGO NORD - EST
Area Verde Via Papa paolo VI;Via Papa paolo VI;1.340;Sì;LOCALITA’ CAPOLUOGO NORD - EST
Area Verde via Bogoni-via Zamboni;via Zamboni;800;No;LOCALITA’ CAPOLUOGO NORD - EST
via Beghini;via Beghini;687;No;LOCALITA’ CAPOLUOGO NORD - EST
Lottizzazione Serena 3 aree verdi;via Girelli/via Pascoli;6.500;Sì;LOCALITA’ CAPOLUOGO EST
Area Verde via Papa Giovanni 23°;via Papa Giovanni 23°;500;Sì;LOCALITA’ CAPOLUOGO EST
area verde viale Verona incrocio via Lora;viale Verona incrocio via Lora;100;No;LOCALITA’ CAPOLUOGO EST
Parco giochi Via Falcone;Via Falcone;1.000;Sì;LOCALITA’ CAPOLUOGO EST
Area verde via Martiri della Libertà;via Martiri della Libertà;2.365;Sì;LOCALITA’ CAPOLUOGO EST
Parco giochi via Butturini;via Butturini;2.750;Sì;LOCALITA’ CAPOLUOGO SUD
Area Verde via Butturini;via Butturini;1.130;Sì;LOCALITA’ CAPOLUOGO SUD
