Nome o identificativo;Indirizzo;Mq;Attrezzato;Note
SONA;;;;
Parco chiesa Santa Giuditta e San Quirico;Via San Quirico, Sona;1500;Sì;
Parco Villa Trevisani;Via Roma, Sona;7600;Sì;
Parco Via del Sole;Via del Sole, Sona;830;No;
LUGAGNANO DI SONA;;;;
Parco giochi via Cattaneo;Via Cattaneo, Mancalacqua, Sona (VR);390;Sì;
Parco del foglio;Via Carducci, Lugagnano di Sona (VR);870;Sì;
Parco giochi Via C.A. Dalla Chiesa;Via Generale C A Dalla Chiesa;900;Sì;
Area Cani, via Fermi;Via Fermi, Lugagnano di Sona;590;Sì;
Parco Giochi, via Marco Polo;Via Marco Polo, Lugagnano di Sona;670;Sì;
Parco giochi via Magellano;Via F.Magellano, Lugagnano di Sona;2720;Sì;
Parco giochi Via Tirso/via Reno;Via Tirso, Lugagnano di Sona (VR);720;Sì;
Parco giochi Via Ticino;Via Ticino, Lugagnano di Sona;880;Sì;
Parco Tortella;Via Volturno, Lugagnano di Sona;3400;Sì;
Parco Franco Conti;Via Colombo, Lugagnano di Sona;1360;Sì;
PALAZZOLO DI SONA;;;;
Parco giochi Via Prele;Via Prele, Palazzolo di Sona;1600;Sì;
Parco Via Salgari;Via Salgari, Palazzolo di Sona;670;Sì;
Parco via Castello, Torre Scaligera;Via Castello, Palazzolo di Sona;750;Sì;
Parco Via Gatta;Via Gatta, Palazzolo di Sona;220;Sì;
Parco via Gonella;Via Gonella, Palazzolo di Sona;1100;Sì;
SAN GIORGIO IN SALICI;;;;
Parco via Don Vittorio Castello;Via Don Vittorio Castello, San Giorgio in Salici;1400;No;
Parco via Segradi;Via Segradi, angolo via Palladio, San Giorgio in Salici;1200;Sì;
Parco giochi Baita Alpini;Via Tiziano, San Girgio in Salici;1300;Sì;
;;;;
;;;;
;;;;
;;;;
;;;;
