Nome o identificativo;Indirizzo;Mq;Attrezzato;Note
PARCO ICHENHAUSEN;VIA ROBERT BADEN-POWELL, VALEGGIO SUL MINCIO;13412;Sì;PARCO
FANTE;VIA DEL FANTE, VALEGGIO SUL MINCIO;2794;Sì;PARCO GIOCHI
FORZE ARMATE;PIAZZALE DELLE FORZE ARMATE, VALEGGIO SUL MINCIO;1533;Sì;PARCO GIOCHI
PERTINI;VIA SANDRO PERTINI, VALEGGIO SUL MINCIO;807;Sì;PARCO GIOCHI
COMBONI;VIA SAN DANIELE COMBONI, VALEGGIO SUL MINCIO;554;Sì;PARCO GIOCHI
FINCATO;VIA COLONNELLO GIOVANNI FINCATO, VALEGGIO SUL MINCIO;710;Sì;PARCO GIOCHI
FASCINELLI;VIA ADELINO FASCINELLI, VALEGGIO SUL MINCIO;1014;Sì;PARCO GIOCHI
DELLA RIMEMBRANZA;PIAZZALE VITTORIO VENETO, VALEGGIO SUL MINCIO;2711;No;PARCO
VERDE PALAZZETTO;VIA DELLO SPORT;2951;No;PARCO
BELLUNO;VICOLO BELLUNO, VALEGGIO SUL MINCIO;629;Sì;PARCO GIOCHI
BRENTA;VIA BRENTA, VALEGGIO SUL MINCIO;1958;Sì;PARCO GIOCHI
TAGLIAMENTO;VIA TAGLIAMENTO, VALEGGIO SUL MINCIO;1981;Sì;PARCO GIOCHI
MAZZINI;VIA GIUSEPPE MAZZINI, VALEGGIO SUL MINCIO;1766;No;PARCO
RICCI;VIA MATTEO RICCI, VALEGGIO SUL MINCIO;468;Sì;PARCO GIOCHI
PITTORI;VIA DEI PITTORI, VALEGGIO SUL MINCIO;572;No;PARCO
POETI;VIA DEI POETI. VALEGGIO SUL MINCIO;991;Sì;PARCO GIOGHI
TRIESTE;VIA TRIESTE, VALEGGIO SUL MINCIO;1099;Sì;PARCO GIOCHI
VITTORIO EMANUELE;VIA VITTORIO EMANUELE SECONDO, VALEGGIO SUL MINCIO;468;Sì;PARCO
VITTORIO EMANUELE;VIA VITTORIO EMANUELE SECONDO, VALEGGIO SUL MINCIO;267;No;PARCO
PONTIERI;VIA DEI PONTIERI, VALEGGIO SUL MINCIO;4368;Sì;PARCO GIOCHI
FALCONE;VIA GIOVANNI FALCONE, VALEGGIO SUL MINCIO;983;Sì;PARCO GIOCHI
FINCATO;VIA COLONNELLO GIOVANNI FINCATO, VALEGGIO SUL MINCIO;458;No;AREA CANI
FALLACI;VIA ORIANA FALLACI, VALEGGIO SUL MINCIO;1692;Sì;PARCO
MARINAIO;VICOLO DEL MARINAIO, VALEGGIO SUL MINCIO;939;Sì;PARCO GIOCHI
FANTE;VIA DEL FANTE, VALEGGIO SUL MINCIO;1121;Sì;PARCO GIOCHI
PARTIGIANI;VIA DEI PARTIGIANI, VALEGGIO SUL MINCIO;931;Sì;PARCO GIOCHI
BERSAGLIERE;VIA DEL BERSAGLIERE, VALEGGIO SUL MINCIO;696;No;PARCO
SAN PIETRO;VIA SAN PIETRO, VALEGGIO SUL MINCIO;1952;Sì;PARCO GIOCHI
VERONA;VIA VERONA, VALEGGIO SUL MINCIO;288;Sì;PARCO GIOCHI
VENEZIA;VIA VENEZIA, VALEGGIO SUL MINCIO;392;Sì;PARCO GIOCHI
ISONZO;VIA ISONZO, VALEGGIO SUL MINCIO;517;Sì;PARCO GIOCHI
ICHENHAUSEN;VIA ROBERT BADEN-POWELL, VALEGGIO SUL MINCIO;1030;No;AREA CANI
ICHENHAUSEN;VIA ROBERT BADEN-POWELL, VALEGGIO SUL MINCIO;2687;Sì;PARCO GIOCHI
FINCATO;VIA COLONNELLO GIOVANNI FINCATO, VALEGGIO SUL MINCIO;405;No;AREA CANI
ICHENHAUSEN;VIA GORIZIA, VALEGGIO SUL MINCIO;4910;No;PARCO
"SCUOLA DELL'INFANZIA ""IL MELOGRANO""";VIA DEGLI ALPINI, VALEGGIO SUL MINCIO;5964;Sì;SCUOLA
