ID Località;Codice località;Nome località;Descrizione;Classificazione;Classificazione ISTAT;Superficie totale (m²)
182;A1;ALPO - VIA DOSDEGA';;Verde attrezzato di quartiere;2 - Parchi urbani;878
185;A4;ALPO - VIA DON PROVOLO;;Aree verdi con giochi;1 - Verde attrezzato;950
188;A7;ALPO - VIA PRINCIPE DI SALUZZO;;Campo ;6 - Campo;4219
196;C2;CALURI - VIA DEI PESCHI;FRONTE ASILO;Verde attrezzato di quartiere;1 - Verde attrezzato;719
197;C3;CALURI - VIA CALURI ;PARCO GIOCHI;Verde attrezzato di quartiere;1 - Verde attrezzato;366
198;C4;CALURI - VIA ALBINO LUCIANI;FRONTE CHIESA;Aree verdi con giochi;1 - Verde attrezzato;397
209;C7;CALURI;VIA DEI PESCHI IMPIANTI;Aree verdi con giochi;5e - Aree speciali - centri sportivi;429
181;D12;DOSSOBUONO - VIA BRIGATE ALPINE;;Verde attrezzato di quartiere;1 - Verde attrezzato;224
155;D19;DOSSOBUONO- VIA SAN LUCA;;Verde attrezzato di quartiere;1 - Verde attrezzato;1592
156;D20;DOSSOBUONO - VIA CAVOUR;FRONTE CASSA DI RISPARMIO;Giardini nel centro urbano;2 - Parchi urbani;245
160;D23;DOSSOBUONO - VIA DELLA MADDALENA ANGOLO VIALE EUROPA;;Verde attrezzato di quartiere;1 - Verde attrezzato;2173
157;D24;DOSSOBUONO - VIA CAVOUR;FRONTE BANCA POP. - ANGOLO SEMAFORO - FONTANA MARIOTTO;Giardini nel centro urbano;2 - Parchi urbani;154
162;D26;DOSSOBUONO - VIA DON BOSCO;;Verde attrezzato di quartiere;1 - Verde attrezzato;1713
206;D27;DOSSOBUONO -VIA VENETO;;Aree verdi con giochi;1 - Verde attrezzato;630
207;D28;DOSSOBUONO - VIA DON NICOLA MAZZA;AREA ANTISTANTE CIMITERO;Campo ;4 - Aree di arredo urbano;4736
172;D3;DOSSOBUONO - VIA FRASSINI ;PARCO GIOCHI;Verde attrezzato di quartiere;1 - Verde attrezzato;16149
253;D35;VIA PAOLO BEMBO DOSSOBUONO;DOSSOBUONO;Area verde zona zai;8 - Area verde ZAI;10077
173;D4;DOSSOBUONO - VIA ALESSANDRI;LATO DONADELLI;Giardini nel centro urbano;3 - Verde storico;9051
174;D5;DOSSOBUONO - VIA ALESSANDRI;PARCO GIOCHI;Verde attrezzato di quartiere;1 - Verde attrezzato;3546
175;D6;DOSSOBUONO - VIA DE MARTIN;PARCO GIOCHI;Verde attrezzato di quartiere;1 - Verde attrezzato;533
177;D8;DOSSOBUONO - VIA CENTURARE;LOTTIZZAZIONE PAVARANA;Giardini nel centro urbano;2 - Parchi urbani;419
215;P3;PIZZOLETTA - VIA GRAMSCI ANGOLO VIA DUCA DEGLI ABRUZZI;CENTRO SOCIALE;Aree verdi con giochi;5f - Aree speciali - edifici pubblici;1424
28;Q1;QUADERNI - VIA BRIGATA ITALIA;;Verde attrezzato di quartiere;2 - Parchi urbani;851
38;Q11;QUADERNI - VIA TITO SPERI;;Giardini nel centro urbano;4 - Aree di arredo urbano;865
42;Q13;QUADERNI - VERDE VIA SILVIO PELLICO;;Campo ;6 - Campo;8967
29;Q2;QUADERNI - VIA AFRO DECO';AREA ATTREZZATA PRESSO IMPIANTI SPORTIVI ;Parchi del centro urbano;5e - Aree speciali - centri sportivi;1569
30;Q3;QUADERNI - VIA KENNEDY;;Giardini nel centro urbano;2 - Parchi urbani;373
34;Q7;QUADERNI - VIA DON CARLO GNOCCHI;;Verde attrezzato di quartiere;1 - Verde attrezzato;563
190;R2;RIZZA - VIA LA RISORTA;;Verde attrezzato di quartiere;1 - Verde attrezzato;458
191;R3;RIZZA - VIA ZUANETTI;;Verde attrezzato di quartiere;1 - Verde attrezzato;1357
192;R4;RIZZA - VIA ZUANETTI 2;;Verde attrezzato di quartiere;1 - Verde attrezzato;5625
193;R5;RIZZA - VIA DELL'AMICIZIA;;Verde attrezzato di quartiere;1 - Verde attrezzato;404
203;RO2;ROSEGAFERRO - CIMITERO;AREA ANTISTANTE ;Giardini nel centro urbano;2 - Parchi urbani;4121
204;RO3;ROSEGAFERRO - VIA MONS. COMBONI;;Verde attrezzato di quartiere;1 - Verde attrezzato;1242
214;RO4;ROSEGAFERRO - VIA ZAMBONI;VIA ZAMBONI - IMPIANTI SPORTIVI;Aree verdi con giochi;5e - Aree speciali - centri sportivi;3452
54;V10;VILLAFRANCA - VIA SPALLANZANI / VIA MALPIGHI;ALBERI - AIUOLE - AREA ATTREZZATA;Verde attrezzato di quartiere;1 - Verde attrezzato;13446
146;V103;VILLAFRANCA - PARCO DEL TIONE;;Parchi del centro urbano;2 - Parchi urbani;69904
147;V104;VIA ISONZO - EX IPPODROMO;;Verde attrezzato di quartiere;1 - Verde attrezzato;10870
218;V108;VILLAFRANCA - CASTELLO SCALIGERO;CASTELLO SCALIGERO;Aree verdi con giochi;2 - Parchi urbani;50262
219;V109;VILLAFRANCA - VIA BROLI ANTICHI 1;VILLAFRANCA DI VERONA;Aree verdi con giochi;1 - Verde attrezzato;612
55;V11;VILLAFRANCA - VIA CESARE MARCHI;;Verde attrezzato di quartiere;1 - Verde attrezzato;4317
