Nome o identificativo;Indirizzo;Mq;Attrezzato;Note
Parco Brolo delle Melanie;Via Castello, Via Manara e Via Pozzetto Castelnuovo del Garda;4780;Sì;Giochi Libri e Panchine
Parco 11 Aprile 1848;Via 11 Aprile 1848;191;Sì;Solo Giochi
Parco Campanello;Via Campanello ;5502;Sì;Giochi Panchine
Parco Ronchi;Via Verdi;7717;Sì;Giochi Panchine
Parco Centro Sociale Cavalcaselle;Via Mantovana;1400;No;Solo Giochi
Parco dei Tavoli;Via Martin Luther King, Via Pacifico Perantoni;23275;Sì;Giochi panchine e tavoli
Parco Piazzale Chiesa Sandrà;Via Pastrengo;727;Sì;Solo Giochi
Parco cà Perari;Via Vigo;263;Sì;Giochi Panchine
Parco Modigliani;Via Modigliani;1203;Sì;Solo Giochi
Parco Volperara;Via Volperara;265;Sì;Giochi Panchine Tavoli
Parco Nicolis;Via Igino Nicolis;577;No;Solo Giochi
Parco Casal;Via Aldo Moro;1235;Sì;Giochi Panchine
Parco Giardi Pubblici Sandrà;Via De Gaspari, Via Einaudi, Via Corobbi;1718;Sì;Giochi Panchine
Parco Don Milani;Via Don Milani;1189;Sì;Giochi Panchine
Parco Oliveto;Via Oliveto;108;Sì;Giochi Panchine
Parco Zonconi ;Via Zonconi, Via Edith Stein;134;Sì;Giochi Panchine
Parco Cesare Marchi;Via Cesare Marchi;455;Sì;Giochi Panchine
Parco Della Pace;Via Della Pace ;210;Sì;Giochi Panchine
Parco Pellico;Via Silvio Pellico;938;No;Solo Giochi
Parco Montello;Via Montello;635;Sì;Giochi Panchine
Parco Rosselli;Via F.lli Rosseli Via Valbruna;459;Sì;Giochi Panchine
Parco Polderin;Via Polderin;1042;Sì;Giochi Panchine
Parco D'Annunzio;Via D'annunzio;505;Sì;Giochi Panchine
Parco Alberetti;Via Marco Polo, Via Alberetti;3422;Sì;Giochi Panchine
Parco Deledda;Via Grazia Deledda;1160;Sì;Giochi Panchine
Parco Serena;Via Mantovana;1397;Sì;Giochi Panchine
Parco Belvedere 1;Via Giovanni Paolo 2°;3340;Sì;Giochi Panchine
Parco Belvedere 2;Via Giovanni Paolo 2°;2331;Sì;Giochi Panchine Tavoli
Parco Catullo;Via Catullo;613;Sì;Giochi Panchine
Parco Giotto;Via Giotto;538;Sì;Giochi Panchine
Parco Ferrari;Via Enzo Ferrari;1272;Sì;Giochi Panchine
Parco Pasteur;Via Louis Pasteur;2819;No;Solo Giochi
Parco Camalavicina;Via Camalavicina;4822;Sì;Giochi Panchine
Parco Attila;Via Attila;454;Sì;Giochi Panchine
Parco Risorgimento;Via Risorgimento;1018;Sì;Giochi Panchine
Parco 24 Giugno 1886;Piazza 24Giugno 1886;3770;Sì;Giochi Panchine
Parco 6 Fontane;Vicolo Fiume;447;No;Solo Giochi
Parco Mongabia;Via Costantino Nigra;170;No;Solo Giochi
Parco Impianti Sportivi Castelnuovo;Via Oregolo;64860;Sì;Orari Apertura Impianti 08,00 - 24,00
Parco Impianti Sportivi Sandrà;Via S. Antonio;12600;Sì;Orari Apertura Impianti 08,00 - 24,00
Parco Pasque Veronesi;Via Pasque Veronesi;5472;Sì;Solo Panchine
Parco Martin Luther King;Via Martin Luther King;3448;Sì;Solo Panchine
Parco Monte Alto;Via Degli Studi;14935;No;
