Nome o identificativo;Indirizzo;Mq;Attrezzato;Note
;Via San Valentino;362;Sì;
;Via Giuseppe Mazzini;479;No;
;Via Don Giuseppe Bonizzato;1094;Sì;
;Via Vittorio Bachelet;1600;Sì;
;Via Caduti di Nassirya;2218;Sì;
;Via Quistello;459;Sì;
;Via San Lorenzo;2737;Sì;
;Via Salvo d'Acquisto;426;Sì;
;Traversa di Via Ponte;420;Sì;
;Via Crocetta;1925;Sì;
;Via Sant'Antonio Abate;907;Sì;
;Via Francesco Miniscalchi;377;Sì;
;Via Gino Ferroni;6693;Sì;
;Via Anna Frank;1297;Sì;
;Via Francesco Miniscalchi;3045;Sì;
;Via del Bersagliere;4533;Sì;
;Via Berto Barbarani;1650;Sì;
;Via Giuseppe Verdi;1903;Sì;
;Via Don Germano Alberti;2429;Sì;
;Via Dante Alighieri;2000;Sì;
;Via Ugo Foscolo;1910;Sì;
;Via Giacomo Leopardi;923;Sì;
;Via Gino Ferroni;3345;No;
;Via San Faustino;436;No;
Parco della Rimembranza;Via XXV Aprile;5933;Sì;
;Via Giovanni Falcone;3247;Sì;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
